Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
Australia,2017,DDoS,Education,31.74,724207,Hacker Group,Weak Passwords,Firewall,54,43.827248286746745,13.492833922924854,3.488597571942989,2,High Loss Long Resolution Incidents
UK,2019,Man-in-the-Middle,IT,35.37,384185,Insider,Weak Passwords,Firewall,71,92.06502075822846,12.858882089298161,3.5937442589988975,2,High Loss Long Resolution Incidents
Australia,2016,DDoS,IT,43.19,825866,Unknown,Weak Passwords,Firewall,23,52.29661954844975,13.624189022589341,3.7884985191426486,0,High Loss Fast Resolution Incidents
Germany,2016,Phishing,Banking,40.18,153211,Nation-state,Weak Passwords,Encryption,43,262.25271031453354,11.939577862202796,3.717952701599643,2,High Loss Long Resolution Incidents
France,2015,Phishing,Retail,84.86,190100,Nation-state,Zero-day,AI-based Detection,69,446.39663335086794,12.155310788851953,4.452718062796414,2,High Loss Long Resolution Incidents
USA,2017,Malware,Government,89.49,4966,Hacker Group,Social Engineering,AI-based Detection,41,18020.53966975433,8.51057131510735,4.505239347363042,3,High Per-User Damage Incidents
Australia,2023,Malware,Banking,25.7,993215,Nation-state,Zero-day,AI-based Detection,56,25.875565713365184,13.808703442031296,3.2846635654062037,2,High Loss Long Resolution Incidents
France,2021,Ransomware,IT,99.77,533151,Nation-state,Zero-day,Antivirus,43,187.1327260007015,13.186561840728796,4.612840692292311,2,High Loss Long Resolution Incidents
Australia,2020,Ransomware,Retail,71.03,91228,Hacker Group,Social Engineering,Antivirus,22,778.5986758451353,11.421128107972857,4.277082698901271,3,High Per-User Damage Incidents
Australia,2016,Ransomware,IT,43.88,588421,Nation-state,Unpatched Software,Encryption,72,74.57245747517509,13.28519965654138,3.803992261214441,2,High Loss Long Resolution Incidents
Germany,2018,Phishing,Education,16.76,163839,Insider,Social Engineering,Encryption,19,102.29554623746483,12.00664562083328,2.876948737564024,1,Low Loss Wide Exposure Incidents
India,2022,SQL Injection,Government,53.89,633626,Nation-state,Social Engineering,Antivirus,54,85.05017155230372,13.359215732210782,4.005331182561798,2,High Loss Long Resolution Incidents
Germany,2024,Man-in-the-Middle,Retail,46.41,494622,Hacker Group,Social Engineering,VPN,37,93.8292271674127,13.111551135212277,3.8588331769140267,2,High Loss Long Resolution Incidents
China,2017,Phishing,Education,16.82,848597,Hacker Group,Weak Passwords,AI-based Detection,11,19.820951523514694,13.651340854924582,2.8803214220426634,0,High Loss Fast Resolution Incidents
USA,2023,Phishing,Telecommunications,6.18,591348,Nation-state,Weak Passwords,Encryption,55,10.450699080744334,13.29016164663192,1.9712993830601329,1,Low Loss Wide Exposure Incidents
Australia,2021,DDoS,IT,47.83,126709,Unknown,Weak Passwords,Antivirus,45,377.47910566731645,11.749656289792954,3.888344878073569,3,High Per-User Damage Incidents
France,2022,Ransomware,Education,59,131307,Hacker Group,Weak Passwords,AI-based Detection,46,449.32867250032365,11.785300987604622,4.0943445622221,3,High Per-User Damage Incidents
France,2024,Phishing,Healthcare,14.38,278126,Unknown,Social Engineering,Antivirus,30,51.703184887425124,12.535833122888022,2.733067964077498,1,Low Loss Wide Exposure Incidents
Brazil,2020,Malware,Telecommunications,23.21,850214,Unknown,Social Engineering,Antivirus,45,27.299009425862195,13.653244537658743,3.1867657709499673,2,High Loss Long Resolution Incidents
France,2015,Ransomware,IT,74.03,597723,Unknown,Zero-day,Encryption,48,123.85335682247462,13.300884387929571,4.3178880335576375,2,High Loss Long Resolution Incidents
UK,2021,Malware,Banking,60.14,191427,Nation-state,Zero-day,Encryption,56,314.16675808532756,12.162267037792699,4.113166316462689,2,High Loss Long Resolution Incidents
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,179.6120929761483,13.109634710547605,4.4961362649639565,0,High Loss Fast Resolution Incidents
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61,91.40090958825382,13.715475835061795,4.4272389774954295,2,High Loss Long Resolution Incidents
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61,504.25195003225616,11.353413773900792,3.7839623353606284,3,High Per-User Damage Incidents
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,138.240818650824,12.3686803210899,3.512440560478137,2,High Loss Long Resolution Incidents
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,90.94106264443026,13.403803006284743,4.114963849424837,2,High Loss Long Resolution Incidents
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,97.78599892668333,13.68288275697784,4.461761602692735,0,High Loss Fast Resolution Incidents
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,37169.811320754714,6.052089168924417,2.818995095053937,3,High Per-User Damage Incidents
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,376.5082861863516,12.300036464852388,4.427477897577799,0,High Loss Fast Resolution Incidents
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,337.3343052675532,12.551784210655885,4.567779796769532,0,High Loss Fast Resolution Incidents
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,97.68453040919852,13.477825586277067,4.258304120182863,2,High Loss Long Resolution Incidents
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,114.94772854184191,13.469303491267933,4.410492606984553,2,High Loss Long Resolution Incidents
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,64.96606554663379,12.940443339990678,3.3350575791576103,0,High Loss Fast Resolution Incidents
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,76.11018796284074,13.807859362073607,4.33768282082183,0,High Loss Fast Resolution Incidents
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67,151.95341045333615,13.104749153805072,4.326117440234365,2,High Loss Long Resolution Incidents
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55,311.62134614110215,12.66631630080372,4.602667055769973,2,High Loss Long Resolution Incidents
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43,138.8717036874096,13.391831579816477,4.5208098373700185,2,High Loss Long Resolution Incidents
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10,152.54032832907478,12.113842218415272,3.361069590571376,0,High Loss Fast Resolution Incidents
Russia,2023,SQL Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70,386.3937097985521,12.184511873603084,4.3389886449823125,2,High Loss Long Resolution Incidents
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63,668.1105057902414,11.80831525649021,4.508328834538536,2,High Loss Long Resolution Incidents
Germany,2018,SQL Injection,Education,84.27,399014,Nation-state,Zero-day,Firewall,52,211.1955971469673,12.896754289150326,4.445822692753958,2,High Loss Long Resolution Incidents
UK,2016,Phishing,Education,8.42,29671,Insider,Unpatched Software,Encryption,61,283.7787738869603,10.297959119169427,2.2428350885882717,3,High Per-User Damage Incidents
USA,2019,Malware,Government,34.4,98018,Insider,Zero-day,VPN,55,350.955946866902,11.492916616411906,3.5667118201397288,3,High Per-User Damage Incidents
India,2019,Ransomware,Telecommunications,32.08,429224,Unknown,Social Engineering,AI-based Detection,56,74.7395299424077,12.969736535945414,3.4989288701554906,2,High Loss Long Resolution Incidents
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480,Insider,Zero-day,AI-based Detection,55,6.279675294838413,13.571502090324632,1.7783364488959144,1,Low Loss Wide Exposure Incidents
China,2015,Ransomware,IT,57.27,762001,Nation-state,Social Engineering,VPN,67,75.15738168322613,13.543704459337254,4.065087381154983,2,High Loss Long Resolution Incidents
USA,2017,Man-in-the-Middle,IT,30.4,568560,Hacker Group,Zero-day,AI-based Detection,49,53.468411425355285,13.250863886328553,3.4468078929142076,2,High Loss Long Resolution Incidents
Australia,2018,DDoS,Retail,41.59,860119,Nation-state,Unpatched Software,Encryption,30,48.35377430332314,13.664827193379326,3.751619483935122,0,High Loss Fast Resolution Incidents
Brazil,2021,DDoS,Telecommunications,67.87,683261,Hacker Group,Unpatched Software,Antivirus,13,99.33246592444176,13.434633666753538,4.232220669556607,0,High Loss Fast Resolution Incidents
Germany,2023,DDoS,Telecommunications,51.49,642699,Unknown,Social Engineering,Firewall,51,80.11526391047754,13.373433331359378,3.9606226752642084,2,High Loss Long Resolution Incidents
India,2021,Man-in-the-Middle,IT,53.49,582718,Hacker Group,Social Engineering,Encryption,20,91.79397238458397,13.275460359429847,3.998017198595007,0,High Loss Fast Resolution Incidents
Japan,2024,Phishing,Retail,94.75,478963,Insider,Zero-day,VPN,70,197.82321390170014,13.079380716992455,4.561740628060756,2,High Loss Long Resolution Incidents
USA,2017,SQL Injection,Banking,39.59,910393,Unknown,Weak Passwords,Antivirus,52,43.486713979567064,13.72163275182282,3.7035217308508064,2,High Loss Long Resolution Incidents
UK,2018,Ransomware,Government,6.6,152302,Hacker Group,Social Engineering,AI-based Detection,26,43.33495292248296,11.933627236653795,2.028148247292285,1,Low Loss Wide Exposure Incidents
Russia,2018,SQL Injection,Telecommunications,13.69,146100,Unknown,Social Engineering,Encryption,22,93.70294318959617,11.892053442342334,2.6871669901857858,1,Low Loss Wide Exposure Incidents
Brazil,2020,Phishing,IT,57.43,212798,Insider,Social Engineering,Antivirus,31,269.8803560183836,12.268103337190464,4.067829456566345,0,High Loss Fast Resolution Incidents
Germany,2017,Malware,Telecommunications,94.87,324790,Insider,Zero-day,VPN,42,292.0964315403799,12.690937177526143,4.562993107088905,2,High Loss Long Resolution Incidents
UK,2015,Man-in-the-Middle,IT,53.07,538338,Nation-state,Zero-day,VPN,1,98.58118876988063,13.196243752231172,3.9902795033939134,0,High Loss Fast Resolution Incidents
USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13,581.5255785102607,10.968853247410602,3.548179572010801,3,High Per-User Damage Incidents
UK,2022,DDoS,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4,178.35696488429204,13.008739928658851,4.389498649512583,0,High Loss Fast Resolution Incidents
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67,3.226807040347586,13.687822630422357,1.3454723665996355,1,Low Loss Wide Exposure Incidents
Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47,143.984866472135,12.79531658143027,3.9685923569160404,2,High Loss Long Resolution Incidents
France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3,180.75464254880214,12.64193762602942,4.041295341132285,0,High Loss Fast Resolution Incidents
Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53,2714.3803843605037,10.31496786629908,4.417876287567579,3,High Per-User Damage Incidents
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54,19.163722559225814,13.61360243053222,2.8130106367386967,1,Low Loss Wide Exposure Incidents
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31,496.9761120559869,12.178793941887045,4.5821062463895395,0,High Loss Fast Resolution Incidents
India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64,93.47749586727889,13.6254850014252,4.360547602996757,2,High Loss Long Resolution Incidents
UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45,11.193854599917547,12.856434968914774,1.665818245870208,1,Low Loss Wide Exposure Incidents
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44,142.5362634188798,13.146923298264714,4.304605487705297,2,High Loss Long Resolution Incidents
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29,148.50173952352787,13.126654158821484,4.325059379032629,0,High Loss Fast Resolution Incidents
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21,62.42563350656728,13.386780917074187,3.729541435832826,0,High Loss Fast Resolution Incidents
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66,77.53306357439644,13.60492161668978,4.155909917880256,2,High Loss Long Resolution Incidents
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28,51.70320843635929,13.750936836207169,3.901366425239617,0,High Loss Fast Resolution Incidents
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46,15.911464746393118,13.75585502892571,2.771963526845863,1,Low Loss Wide Exposure Incidents
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56,566.5559915484455,11.794496402416149,4.331785418237135,2,High Loss Long Resolution Incidents
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57,80.88208539861805,13.655320678827715,4.247208700523894,2,High Loss Long Resolution Incidents
Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11,79.41382370469456,13.552204950572525,4.127618138985026,0,High Loss Fast Resolution Incidents
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13,186.1607856492518,12.569892503669625,3.9994842811981406,0,High Loss Fast Resolution Incidents
Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3,135.12305481251246,12.580552634690559,3.696351468952637,0,High Loss Fast Resolution Incidents
France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72,16.690206406349002,13.244586319848995,2.344686269012681,1,Low Loss Wide Exposure Incidents
Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19,78.59333246636659,13.074766401103044,3.6498787167642037,0,High Loss Fast Resolution Incidents
Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25,6.131572620889115,13.621448753371144,1.80005827204275,1,Low Loss Wide Exposure Incidents
France,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54,95.14339437753559,13.447202496652443,4.2021520815229785,2,High Loss Long Resolution Incidents
USA,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59,372.27243470614366,12.304192510832472,4.420405647542997,2,High Loss Long Resolution Incidents
France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15,25.788502233835114,13.814017443823937,3.2865344733420154,0,High Loss Fast Resolution Incidents
Japan,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20,65.77587720593148,13.374755003077524,3.768845235751818,0,High Loss Fast Resolution Incidents
Japan,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17,81.65302102929617,13.02341117347432,3.63705970538414,0,High Loss Fast Resolution Incidents
France,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33,124.43202355414421,13.489893984833195,4.50920979484218,0,High Loss Fast Resolution Incidents
Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27,46.76458449907205,12.886534709115994,2.968874819384108,1,Low Loss Wide Exposure Incidents
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6,3.257849635986207,13.797595028977515,1.4350845252893227,1,Low Loss Wide Exposure Incidents
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59,16.885566627164163,13.477287189005402,2.5680215564985067,1,Low Loss Wide Exposure Incidents
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,39.84649625148823,13.469090000487872,3.3734835430946397,0,High Loss Fast Resolution Incidents
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37,89.8772805477364,13.77790422100423,4.472324272654662,2,High Loss Long Resolution Incidents
UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2,117.23277300711696,12.728917745120366,3.702535780561422,0,High Loss Fast Resolution Incidents
Germany,2018,SQL Injection,Retail,46.34,575379,Unknown,Zero-day,AI-based Detection,35,80.5382191564169,13.262785971066577,3.857355604085838,0,High Loss Fast Resolution Incidents
